date,daily_average,day,month number,year
1/1/2019,297.20,1,1,2019
2/1/2019,979.67,2,1,2019
3/1/2019,1515.75,3,1,2019
4/1/2019,1366.19,4,1,2019
5/1/2019,1115.17,5,1,2019
6/1/2019,1335.92,6,1,2019
7/1/2019,1577.39,7,1,2019
8/1/2019,1443.21,8,1,2019
9/1/2019,1470.05,9,1,2019
10/1/2019,1731.24,10,1,2019
11/1/2019,1488.90,11,1,2019
12/1/2019,1213.30,12,1,2019
13/1/2019,1008.95,13,1,2019
14/1/2019,1219.27,14,1,2019
15/1/2019,1269.70,15,1,2019
16/1/2019,1222.10,16,1,2019
17/1/2019,1218.60,17,1,2019
18/1/2019,1628.39,18,1,2019
19/1/2019,1463.19,19,1,2019
20/1/2019,1441.96,20,1,2019
21/1/2019,1877.15,21,1,2019
22/1/2019,1678.06,22,1,2019
23/1/2019,1895.04,23,1,2019
24/1/2019,2151.25,24,1,2019
25/1/2019,1795.14,25,1,2019
26/1/2019,1325.89,26,1,2019
27/1/2019,1027.16,27,1,2019
28/1/2019,1448.87,28,1,2019
29/1/2019,1610.67,29,1,2019
30/1/2019,1595.60,30,1,2019
31/1/2019,1589.86,31,1,2019
1/2/2019,1430.93,1,2,2019
2/2/2019,1315.79,2,2,2019
3/2/2019,1135.12,3,2,2019
4/2/2019,1269.20,4,2,2019
5/2/2019,1415.59,5,2,2019
6/2/2019,1356.17,6,2,2019
7/2/2019,1200.03,7,2,2019
8/2/2019,1229.57,8,2,2019
9/2/2019,1034.52,9,2,2019
10/2/2019,664.16,10,2,2019
11/2/2019,1074.54,11,2,2019
12/2/2019,1172.75,12,2,2019
13/2/2019,1214.15,13,2,2019
14/2/2019,1289.42,14,2,2019
15/2/2019,1191.53,15,2,2019
16/2/2019,1096.60,16,2,2019
17/2/2019,996.16,17,2,2019
18/2/2019,1211.66,18,2,2019
19/2/2019,1192.05,19,2,2019
20/2/2019,1114.92,20,2,2019
21/2/2019,1179.01,21,2,2019
22/2/2019,1202.22,22,2,2019
23/2/2019,1055.51,23,2,2019
24/2/2019,1022.56,24,2,2019
25/2/2019,1165.46,25,2,2019
26/2/2019,1106.94,26,2,2019
27/2/2019,1125.12,27,2,2019
28/2/2019,1027.56,28,2,2019
1/3/2019,1174.39,1,3,2019
2/3/2019,1031.13,2,3,2019
3/3/2019,565.70,3,3,2019
4/3/2019,614.93,4,3,2019
5/3/2019,839.16,5,3,2019
6/3/2019,1004.38,6,3,2019
7/3/2019,758.57,7,3,2019
8/3/2019,797.10,8,3,2019
9/3/2019,625.53,9,3,2019
10/3/2019,508.61,10,3,2019
11/3/2019,850.78,11,3,2019
12/3/2019,1011.63,12,3,2019
13/3/2019,795.03,13,3,2019
14/3/2019,888.03,14,3,2019
15/3/2019,785.89,15,3,2019
16/3/2019,565.98,16,3,2019
17/3/2019,44.74,17,3,2019
18/3/2019,875.54,18,3,2019
19/3/2019,1147.58,19,3,2019
20/3/2019,1084.72,20,3,2019
21/3/2019,1024.38,21,3,2019
22/3/2019,1049.14,22,3,2019
23/3/2019,872.75,23,3,2019
24/3/2019,802.17,24,3,2019
25/3/2019,826.55,25,3,2019
26/3/2019,953.88,26,3,2019
27/3/2019,1014.70,27,3,2019
28/3/2019,1090.46,28,3,2019
29/3/2019,1010.69,29,3,2019
30/3/2019,903.74,30,3,2019
31/3/2019,791.94,31,3,2019
1/4/2019,973.09,1,4,2019
2/4/2019,920.42,2,4,2019
3/4/2019,1084.85,3,4,2019
4/4/2019,1098.20,4,4,2019
5/4/2019,1086.00,5,4,2019
6/4/2019,941.94,6,4,2019
7/4/2019,897.89,7,4,2019
8/4/2019,1129.87,8,4,2019
9/4/2019,1101.71,9,4,2019
10/4/2019,1102.71,10,4,2019
11/4/2019,1170.26,11,4,2019
12/4/2019,1166.74,12,4,2019
13/4/2019,1057.76,13,4,2019
14/4/2019,982.74,14,4,2019
15/4/2019,1078.79,15,4,2019
16/4/2019,1072.75,16,4,2019
17/4/2019,1081.31,17,4,2019
18/4/2019,1002.58,18,4,2019
19/4/2019,844.57,19,4,2019
20/4/2019,949.52,20,4,2019
21/4/2019,818.79,21,4,2019
22/4/2019,101.94,22,4,2019
23/4/2019,618.73,23,4,2019
24/4/2019,887.44,24,4,2019
25/4/2019,986.23,25,4,2019
26/4/2019,1077.09,26,4,2019
27/4/2019,869.76,27,4,2019
28/4/2019,866.64,28,4,2019
29/4/2019,1184.88,29,4,2019
30/4/2019,1104.66,30,4,2019
1/5/2019,668.95,1,5,2019
2/5/2019,1010.49,2,5,2019
3/5/2019,1094.98,3,5,2019
4/5/2019,980.74,4,5,2019
5/5/2019,563.12,5,5,2019
6/5/2019,1108.39,6,5,2019
