universal_time,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability,Altitude,Latitude,Longitude,date
2019-01-01T00:00:00.0/2019-01-02T00:00:00.0,2149.1880,1362.4983,962.5643,399.9341,4267.9756,413.9340,1.4816,412.4524,5.5147,0.9750,368,49.9427,15.1155,01/01/2019/
2019-01-02T00:00:00.0/2019-01-03T00:00:00.0,2164.5623,1419.1077,981.3141,437.7936,4312.8848,565.9247,46.7631,519.1617,233.7038,0.9747,,,,02/01/2019/
2019-01-03T00:00:00.0/2019-01-04T00:00:00.0,2181.3037,1473.7607,1106.4381,367.3226,4936.8296,337.6296,32.3902,305.2394,260.6828,0.9743,,,,03/01/2019/
2019-01-04T00:00:00.0/2019-01-05T00:00:00.0,2199.4702,1444.4457,1070.9008,373.5449,4737.7798,495.8974,141.5416,354.3558,710.9663,0.9733,,,,04/01/2019/
2019-01-05T00:00:00.0/2019-01-06T00:00:00.0,2218.9585,1463.6042,1119.9500,343.6543,4926.3638,353.7824,0.2717,353.5107,1.4725,0.9733,,,,05/01/2019/
2019-01-06T00:00:00.0/2019-01-07T00:00:00.0,2239.8081,1543.0361,1223.0177,320.0184,5427.5117,384.5956,0.2511,384.3445,1.3505,0.9726,,,,06/01/2019/
2019-01-07T00:00:00.0/2019-01-08T00:00:00.0,2262.0134,1472.9070,1083.3998,389.5071,4677.4126,658.4574,30.4783,627.9791,107.1968,0.9722,,,,07/01/2019/
2019-01-08T00:00:00.0/2019-01-09T00:00:00.0,2285.6145,1472.9668,976.9674,495.9994,4131.9585,826.5752,303.2150,523.3602,1517.1295,0.9507,,,,08/01/2019/
2019-01-09T00:00:00.0/2019-01-10T00:00:00.0,2310.5710,1528.8431,1154.0110,374.8322,4954.2954,318.1840,2.9208,315.2633,9.5480,0.9708,,,,09/01/2019/
2019-01-10T00:00:00.0/2019-01-11T00:00:00.0,2336.8877,1564.2855,1206.0336,358.2519,5156.0630,512.0458,60.3399,451.7059,329.4747,0.9701,,,,10/01/2019/
2019-01-11T00:00:00.0/2019-01-12T00:00:00.0,2364.5173,1602.8528,1228.4790,374.3737,5222.5293,790.6414,433.0639,357.5775,1858.1726,0.9698,,,,11/01/2019/
2019-01-12T00:00:00.0/2019-01-13T00:00:00.0,2393.5613,1552.8364,1079.1655,473.6709,4462.8501,424.5023,30.7409,393.7614,160.9963,0.9688,,,,12/01/2019/
2019-01-13T00:00:00.0/2019-01-14T00:00:00.0,2423.9102,1608.4714,1195.3831,413.0883,4952.0454,628.4360,44.6274,583.8085,185.0868,0.9628,,,,13/01/2019/
2019-01-14T00:00:00.0/2019-01-15T00:00:00.0,2455.6003,1641.3505,1088.3578,552.9927,4335.3428,777.7863,72.8794,704.9069,382.0200,0.9778,,,,14/01/2019/
2019-01-15T00:00:00.0/2019-01-16T00:00:00.0,2488.6274,1680.9518,1273.2827,407.6690,5134.8989,620.2126,14.1716,606.0410,152.7662,0.9771,,,,15/01/2019/
2019-01-16T00:00:00.0/2019-01-17T00:00:00.0,2523.0000,1707.6924,1317.8506,389.8419,5323.6997,1086.5842,208.7789,877.8053,903.8573,0.9760,,,,16/01/2019/
2019-01-17T00:00:00.0/2019-01-18T00:00:00.0,2558.6694,1718.2592,1342.0811,376.1781,5380.9341,827.7319,324.3445,503.3875,1437.0519,0.9753,,,,17/01/2019/
2019-01-18T00:00:00.0/2019-01-19T00:00:00.0,2595.6753,1828.3519,1453.8450,374.5069,5799.7871,980.9998,179.6738,801.3260,1167.6038,0.9691,,,,18/01/2019/
2019-01-19T00:00:00.0/2019-01-20T00:00:00.0,2633.9351,1884.1639,1525.9679,358.1960,6107.7983,1884.1639,1525.9679,358.1960,6107.7983,0.9740,,,,19/01/2019/
2019-01-20T00:00:00.0/2019-01-21T00:00:00.0,2673.5530,1828.3752,1395.5159,432.8594,5431.9458,646.8174,1.6355,645.1819,6.4588,0.9729,,,,20/01/2019/
2019-01-21T00:00:00.0/2019-01-22T00:00:00.0,2714.4153,1864.7222,1388.7050,476.0172,5319.2207,1844.1960,1352.3551,491.8409,5135.1841,0.9722,,,,21/01/2019/
2019-01-22T00:00:00.0/2019-01-23T00:00:00.0,2756.6399,1872.0746,1355.0406,517.0339,5117.1919,1380.1194,484.0668,896.0527,2036.6428,0.9708,,,,22/01/2019/
2019-01-23T00:00:00.0/2019-01-24T00:00:00.0,2800.1045,1947.5635,1467.3976,480.1659,5513.3149,1932.4524,1427.3151,505.1374,5277.1050,0.9698,,,,23/01/2019/
2019-01-24T00:00:00.0/2019-01-25T00:00:00.0,2844.8057,1936.9449,1463.7728,473.1721,5443.2285,517.2809,0.0031,517.2778,0.0141,0.9743,,,,24/01/2019/
2019-01-25T00:00:00.0/2019-01-26T00:00:00.0,2890.7942,1988.6023,1542.6630,445.9394,5707.3008,1056.0586,140.7191,915.3395,787.2762,0.9785,,,,25/01/2019/
2019-01-26T00:00:00.0/2019-01-27T00:00:00.0,2938.0178,1995.7583,1589.3276,406.4307,5847.7690,796.4741,15.0478,781.4263,88.2060,0.9774,,,,26/01/2019/
2019-01-27T00:00:00.0/2019-01-28T00:00:00.0,2986.4417,2029.6488,1558.0068,471.6419,5604.8101,1104.1061,94.6850,1009.4211,305.3125,0.9767,,,,27/01/2019/
2019-01-28T00:00:00.0/2019-01-29T00:00:00.0,3036.1562,2102.7739,1629.4576,473.3161,5834.7373,1063.2720,105.1783,958.0936,498.4839,0.9757,,,,28/01/2019/
2019-01-29T00:00:00.0/2019-01-30T00:00:00.0,3087.0430,2185.8926,1765.7426,420.1499,6326.6260,1141.8224,419.2615,722.5608,1448.6169,0.9743,,,,29/01/2019/
2019-01-30T00:00:00.0/2019-01-31T00:00:00.0,3139.1104,2228.3853,1772.3668,456.0184,6247.0669,2188.4912,1685.1881,503.3032,5977.7192,0.9733,,,,30/01/2019/
2019-01-31T00:00:00.0/2019-02-01T00:00:00.0,3192.3750,2237.1921,1770.1718,467.0204,6145.5317,2224.3372,1746.1490,478.1883,6070.3613,0.9722,,,,31/01/2019/
2019-02-01T00:00:00.0/2019-02-02T00:00:00.0,3246.7942,2230.0356,1724.4227,505.6129,5869.5747,1324.9900,250.1252,1074.8647,811.9842,0.9712,,,,01/02/2019/
2019-02-02T00:00:00.0/2019-02-03T00:00:00.0,3302.3835,2161.1008,1537.9014,623.1995,5152.8408,659.0619,5.7023,653.3596,26.1327,0.9750,,,,02/02/2019/
2019-02-03T00:00:00.0/2019-02-04T00:00:00.0,3359.0444,2284.2041,1730.8336,553.3704,5677.6094,297.5080,0.0000,297.5080,0.0000,0.9431,,,,03/02/2019/
2019-02-04T00:00:00.0/2019-02-05T00:00:00.0,3416.8796,2466.8359,2016.5604,450.2755,6763.8784,2052.0955,1444.1451,607.9503,4449.1890,0.9781,,,,04/02/2019/
2019-02-05T00:00:00.0/2019-02-06T00:00:00.0,3475.7742,2512.5918,2041.2505,471.3412,6734.6270,2496.9971,2023.2804,473.7166,6595.0303,0.9667,,,,05/02/2019/
2019-02-06T00:00:00.0/2019-02-07T00:00:00.0,3535.7683,2530.4792,2033.5640,496.9154,6630.6948,502.1765,0.0055,502.1710,0.0252,0.9705,,,,06/02/2019/
2019-02-07T00:00:00.0/2019-02-08T00:00:00.0,3596.7476,2580.1213,2029.6064,550.5148,6459.6382,2030.3984,1244.7502,785.6481,3362.8374,0.9646,,,,07/02/2019/
2019-02-08T00:00:00.0/2019-02-09T00:00:00.0,3658.8369,2594.0701,2038.9880,555.0820,6456.0845,2594.0701,2038.9880,555.0820,6456.0845,0.9736,,,,08/02/2019/
2019-02-09T00:00:00.0/2019-02-10T00:00:00.0,3721.9253,2587.9509,1948.8840,639.0669,5980.0986,2084.8818,1241.9509,842.9310,3293.5327,0.9670,,,,09/02/2019/
2019-02-10T00:00:00.0/2019-02-11T00:00:00.0,3785.9639,2593.6130,1923.5916,670.0213,5863.7021,879.1522,28.4029,850.7493,97.8907,0.9712,,,,10/02/2019/
2019-02-11T00:00:00.0/2019-02-12T00:00:00.0,3850.9814,2743.2563,2199.6956,543.5608,6765.7656,786.7504,17.7593,768.9911,181.3362,0.9806,,,,11/02/2019/
2019-02-12T00:00:00.0/2019-02-13T00:00:00.0,3916.9753,2843.1470,2246.2888,596.8582,6769.7329,1381.8212,156.2809,1225.5403,554.2122,0.9792,,,,12/02/2019/
2019-02-13T00:00:00.0/2019-02-14T00:00:00.0,3983.8838,2754.2654,1995.4490,758.8163,5891.3447,1393.5276,286.8188,1106.7087,1132.0001,0.9778,,,,13/02/2019/
2019-02-14T00:00:00.0/2019-02-15T00:00:00.0,4051.6548,2688.6665,1764.1329,924.5336,5042.2017,2476.4849,1559.6427,916.8423,4250.9243,0.9767,,,,14/02/2019/
2019-02-15T00:00:00.0/2019-02-16T00:00:00.0,4120.3145,2867.5601,2080.0854,787.4747,5969.2554,2852.4216,2061.1775,791.2443,5898.3906,0.9757,,,,15/02/2019/
2019-02-16T00:00:00.0/2019-02-17T00:00:00.0,4189.8608,3080.7500,2462.6965,618.0536,7132.6431,3022.8279,2341.6919,681.1360,6850.5015,0.9743,,,,16/02/2019/
2019-02-17T00:00:00.0/2019-02-18T00:00:00.0,4260.2319,3173.6328,2635.5327,538.0999,7653.9624,3140.4165,2568.8401,571.5762,7472.0044,0.9729,,,,17/02/2019/
2019-02-18T00:00:00.0/2019-02-19T00:00:00.0,4331.4043,3265.6987,2707.8665,557.8322,7778.4570,3222.3359,2626.9675,595.3683,7521.8105,0.9715,,,,18/02/2019/
2019-02-19T00:00:00.0/2019-02-20T00:00:00.0,4403.3374,3138.2014,2454.9060,683.2953,6789.0601,2968.6621,2112.4343,856.2278,5752.5879,0.9809,,,,19/02/2019/
2019-02-20T00:00:00.0/2019-02-21T00:00:00.0,4476.0513,3185.7942,2423.8264,761.9677,6616.4829,1997.5170,300.9940,1696.5229,1058.9075,0.9795,,,,20/02/2019/
2019-02-21T00:00:00.0/2019-02-22T00:00:00.0,4549.5059,3085.4683,2237.0068,848.4614,5948.6978,1806.3281,519.5358,1286.7924,1371.1339,0.9781,,,,21/02/2019/
2019-02-22T00:00:00.0/2019-02-23T00:00:00.0,4623.6411,3405.1599,2823.0076,582.1524,7673.0625,883.5908,13.0639,870.5269,142.0364,0.9771,,,,22/02/2019/
2019-02-23T00:00:00.0/2019-02-24T00:00:00.0,4698.4722,3569.6807,3044.4846,525.1960,8364.2734,2862.4480,1510.0679,1352.3802,4645.3003,0.9764,,,,23/02/2019/
2019-02-24T00:00:00.0/2019-02-25T00:00:00.0,4773.9937,3222.5569,2151.8245,1070.7323,5528.3530,1920.1313,545.3400,1374.7914,1671.9023,0.9747,,,,24/02/2019/
2019-02-25T00:00:00.0/2019-02-26T00:00:00.0,4850.1465,3488.5408,2751.3481,737.1929,7209.1333,3225.3584,2097.2136,1128.1449,5544.8496,0.9733,,,,25/02/2019/
2019-02-26T00:00:00.0/2019-02-27T00:00:00.0,4926.8916,3464.9084,2591.8621,873.0465,6674.5718,2101.2720,550.2832,1550.9886,1570.5168,0.9826,,,,26/02/2019/
2019-02-27T00:00:00.0/2019-02-28T00:00:00.0,5004.2485,3621.4382,2813.0894,808.3489,7184.5488,3615.6624,2804.8259,810.8364,7144.5693,0.9812,,,,27/02/2019/
2019-02-28T00:00:00.0/2019-03-01T00:00:00.0,5082.1904,3730.6843,3056.3694,674.3149,7828.8184,3483.9497,2470.4963,1013.4534,6164.1719,0.9743,,,,28/02/2019/
2019-03-01T00:00:00.0/2019-03-02T00:00:00.0,5160.6118,3587.4231,2595.8984,991.5246,6292.6011,892.0812,25.2152,866.8660,129.2171,0.9785,,,,01/03/2019/
2019-03-02T00:00:00.0/2019-03-03T00:00:00.0,5239.5669,3719.5647,2785.1963,934.3682,6777.8628,883.5829,10.1036,873.4793,39.9952,0.9719,,,,02/03/2019/
2019-03-03T00:00:00.0/2019-03-04T00:00:00.0,5318.9922,3684.4971,2465.8281,1218.6689,5926.9478,1810.8860,148.7038,1662.1823,469.4903,0.9705,,,,03/03/2019/
2019-03-04T00:00:00.0/2019-03-05T00:00:00.0,5398.8428,3821.6672,2856.1274,965.5397,6845.1465,2350.6880,848.0519,1502.6362,2183.0635,0.9747,,,,04/03/2019/
2019-03-05T00:00:00.0/2019-03-06T00:00:00.0,5479.1426,4009.2129,3069.3777,939.8351,7331.3413,1831.6774,185.2238,1646.4535,507.2401,0.9733,,,,05/03/2019/
2019-03-06T00:00:00.0/2019-03-07T00:00:00.0,5559.8262,4102.7729,3369.1555,733.6174,8075.2993,3860.1987,2732.4844,1127.7144,6646.8145,0.9823,,,,06/03/2019/
2019-03-07T00:00:00.0/2019-03-08T00:00:00.0,5640.8506,4029.7344,3151.2764,878.4578,7437.0889,2974.9971,1643.1937,1331.8033,3380.9272,0.9812,,,,07/03/2019/
2019-03-08T00:00:00.0/2019-03-09T00:00:00.0,5722.2349,4236.2954,3495.0972,741.1980,8300.8408,3298.9006,1617.8644,1681.0363,4045.2385,0.9802,,,,08/03/2019/
2019-03-09T00:00:00.0/2019-03-10T00:00:00.0,5803.8848,4200.3809,3316.2856,884.0950,7645.2979,1946.0930,236.4496,1709.6434,807.7998,0.9788,,,,09/03/2019/
2019-03-10T00:00:00.0/2019-03-11T00:00:00.0,5885.8545,4200.9712,3286.6973,914.2742,7549.0352,965.0526,123.6780,841.3746,433.7081,0.9722,,,,10/03/2019/
2019-03-11T00:00:00.0/2019-03-12T00:00:00.0,5968.0972,4398.4678,3292.0271,1106.4407,7409.6016,1780.3538,365.3969,1414.9569,1258.1088,0.9757,,,,11/03/2019/
2019-03-12T00:00:00.0/2019-03-13T00:00:00.0,6050.5010,4587.3926,3862.7551,724.6373,8853.0322,2397.2754,569.0200,1828.2554,1960.0298,0.9538,,,,12/03/2019/
2019-03-13T00:00:00.0/2019-03-14T00:00:00.0,6133.1318,4565.7378,3639.6646,926.0730,8103.2852,3048.9409,1289.9106,1759.0303,2910.6558,0.9733,,,,13/03/2019/
2019-03-14T00:00:00.0/2019-03-15T00:00:00.0,6215.9160,4554.1187,3494.4592,1059.6592,7705.8862,2805.7920,928.3051,1877.4869,1877.3938,0.9823,,,,14/03/2019/
2019-03-15T00:00:00.0/2019-03-16T00:00:00.0,6298.8154,4627.8350,3673.0974,954.7379,8086.7153,2511.5608,518.6172,1992.9435,1310.3397,0.9812,,,,15/03/2019/
2019-03-16T00:00:00.0/2019-03-17T00:00:00.0,6381.8496,4583.7871,3564.4192,1019.3680,7640.1567,2287.9539,884.5947,1403.3593,1883.5654,0.9799,,,,16/03/2019/
2019-03-17T00:00:00.0/2019-03-18T00:00:00.0,6464.9326,4816.4062,3932.0376,884.3686,8528.5801,4247.4531,2456.5596,1790.8936,5791.9868,0.9788,,,,17/03/2019/
2019-03-18T00:00:00.0/2019-03-19T00:00:00.0,6548.1533,4949.8711,4126.8062,823.0652,8956.9424,2760.9739,515.3920,2245.5818,1320.9613,0.9771,,,,18/03/2019/
2019-03-19T00:00:00.0/2019-03-20T00:00:00.0,6631.3643,5010.0327,4062.9668,947.0660,8642.5479,3227.1990,1206.2424,2020.9565,3270.2227,0.9757,,,,19/03/2019/
2019-03-20T00:00:00.0/2019-03-21T00:00:00.0,6714.5620,5111.8750,4345.8145,766.0607,9383.2832,4276.8628,2705.7031,1571.1594,6594.5195,0.9747,,,,20/03/2019/
2019-03-21T00:00:00.0/2019-03-22T00:00:00.0,6797.7661,4872.9927,3793.9727,1079.0201,7919.2900,4854.9189,3764.4067,1090.5125,7827.1943,0.9733,,,,21/03/2019/
2019-03-22T00:00:00.0/2019-03-23T00:00:00.0,6880.8921,4883.6333,3700.9211,1182.7124,7628.5928,4677.5483,3153.5178,1524.0306,6530.7080,0.9826,,,,22/03/2019/
2019-03-23T00:00:00.0/2019-03-24T00:00:00.0,6964.0229,5075.7920,4059.0791,1016.7129,8352.2441,5075.7920,4059.0791,1016.7129,8352.2441,0.9809,,,,23/03/2019/
2019-03-24T00:00:00.0/2019-03-25T00:00:00.0,7047.0010,4677.7725,2897.8899,1779.8827,5696.0063,1491.2419,35.8329,1455.4091,83.6327,0.9799,,,,24/03/2019/
2019-03-25T00:00:00.0/2019-03-26T00:00:00.0,7129.9082,5256.1045,4052.6592,1203.4453,8131.5059,3088.5527,1149.6306,1938.9220,2741.4868,0.9785,,,,25/03/2019/
2019-03-26T00:00:00.0/2019-03-27T00:00:00.0,7212.6636,5440.5767,4446.7974,993.7793,8947.2744,2183.8169,215.7972,1968.0198,707.6534,0.9771,,,,26/03/2019/
2019-03-27T00:00:00.0/2019-03-28T00:00:00.0,7295.2329,5408.4238,4381.4370,1026.9865,8823.9619,2795.6248,777.4783,2018.1464,1813.2227,0.9760,,,,27/03/2019/
2019-03-28T00:00:00.0/2019-03-29T00:00:00.0,7377.6401,5378.0815,4291.6475,1086.4338,8557.1836,1465.0137,21.5895,1443.4242,156.5829,0.9747,,,,28/03/2019/
2019-03-29T00:00:00.0/2019-03-30T00:00:00.0,7459.8364,5583.5396,4574.3848,1009.1547,9142.5527,3760.2446,1409.2905,2350.9541,3049.2339,0.9733,,,,29/03/2019/
2019-03-30T00:00:00.0/2019-03-31T00:00:00.0,7541.8081,5659.9521,4674.4478,985.5045,9248.3623,5205.0547,3416.2600,1788.7944,7141.8472,0.9823,,,,30/03/2019/
2019-03-31T00:00:00.0/2019-04-01T00:00:00.0,7623.4780,5431.6191,4112.2129,1319.4061,7918.6567,5065.6440,3505.6433,1560.0010,6714.9312,0.9812,,,,31/03/2019/
2019-04-01T00:00:00.0/2019-04-02T00:00:00.0,7704.9043,5748.4751,4671.1270,1077.3483,9078.6143,5602.4492,4516.8115,1085.6381,8431.0322,0.9799,,,,01/04/2019/
2019-04-02T00:00:00.0/2019-04-03T00:00:00.0,7786.0078,5501.6357,4025.4778,1476.1581,7623.7383,5009.6812,2807.7180,2201.9629,5592.1035,0.9785,,,,02/04/2019/
