date,electricity_demand_AT,electricity_demand_BA,electricity_demand_BE,electricity_demand_BG,electricity_demand_CH,electricity_demand_CY,electricity_demand_CZ,electricity_demand_DE,electricity_demand_DK,electricity_demand_EE,electricity_demand_EL,electricity_demand_ES,electricity_demand_FI,electricity_demand_FR,electricity_demand_HR,electricity_demand_HU,electricity_demand_IE,electricity_demand_IT,electricity_demand_LT,electricity_demand_LU,electricity_demand_LV,electricity_demand_ME,electricity_demand_MK,electricity_demand_NL,electricity_demand_NO,electricity_demand_PL,electricity_demand_PT,electricity_demand_RO,electricity_demand_RS,electricity_demand_SE,electricity_demand_SI,electricity_demand_SK,irradiance_AL,irradiance_AT,irradiance_BA,irradiance_BE,irradiance_BG,irradiance_CH,irradiance_CY,irradiance_CZ,irradiance_DE,irradiance_DK,irradiance_EE,irradiance_EL,irradiance_ES,irradiance_FI,irradiance_FR,irradiance_HR,irradiance_HU,irradiance_IE,irradiance_IS,irradiance_IT,irradiance_LT,irradiance_LU,irradiance_LV,irradiance_ME,irradiance_MK,irradiance_NL,irradiance_NO,irradiance_PL,irradiance_PT,irradiance_RO,irradiance_RS,irradiance_SE,irradiance_SI,irradiance_SK,irradiance_TR,air_temp_AL,air_temp_AT,air_temp_BA,air_temp_BE,air_temp_BG,air_temp_CH,air_temp_CY,air_temp_CZ,air_temp_DE,air_temp_DK,air_temp_EE,air_temp_EL,air_temp_ES,air_temp_FI,air_temp_FR,air_temp_HR,air_temp_HU,air_temp_IE,air_temp_IS,air_temp_IT,air_temp_LT,air_temp_LU,air_temp_LV,air_temp_ME,air_temp_MK,air_temp_NL,air_temp_NO,air_temp_PL,air_temp_PT,air_temp_RO,air_temp_RS,air_temp_SE,air_temp_SI,air_temp_SK,air_temp_TR,price_mwh_eur_DAM,wind_power_onshore_AT,wind_power_onshore_BA,wind_power_onshore_BE,wind_power_onshore_BG,wind_power_onshore_CH,wind_power_onshore_CY,wind_power_onshore_CZ,wind_power_onshore_DE,wind_power_onshore_DK,wind_power_onshore_EE,wind_power_onshore_EL,wind_power_onshore_ES,wind_power_onshore_FI,wind_power_onshore_FR,wind_power_onshore_HR,wind_power_onshore_HU,wind_power_onshore_IE,wind_power_onshore_IS,wind_power_onshore_IT,wind_power_onshore_LT,wind_power_onshore_LU,wind_power_onshore_LV,wind_power_onshore_ME,wind_power_onshore_MK,wind_power_onshore_NL,wind_power_onshore_NO,wind_power_onshore_PL,wind_power_onshore_PT,wind_power_onshore_RO,wind_power_onshore_RS,wind_power_onshore_SE,wind_power_onshore_SI,wind_power_onshore_SK,hydropower_reservoir_AT,hydropower_reservoir_CH,hydropower_reservoir_DE,hydropower_reservoir_ES,hydropower_reservoir_FR,hydropower_reservoir_IT,hydropower_reservoir_NO,hydropower_reservoir_PT,hydropower_reservoir_RO,hydropower_reservoir_SE,hydropower_reservoir_SK,river_hydropower_AT,river_hydropower_CH,river_hydropower_DE,river_hydropower_ES,river_hydropower_FI,river_hydropower_FR,river_hydropower_IT,river_hydropower_NO,river_hydropower_PT,river_hydropower_RO,river_hydropower_SK,time_series
2023-01-01,164216.2,32481.3,183117.7,91842.7,144233.9,10275.7,144065.6,1104622.2,81024.4,21797,107586.4,502223.4,232625.5,1131234.7,38785.6,93830,66098.5,632063.9,26230,9789.6,18241.7,8777.3,24459.5,261279.5,413462.2,331949.8,103575,103498.7,108385.1,395865.6,29173.8,68008.2,92.50224452916666,54.85534079208333,72.53717261666667,23.26908906458333,86.24836308623333,58.22884072916667,125.904194464125,42.304719507916666,33.193571625,13.047704909583333,6.193108108333334,101.64992569166667,88.75267047383333,4.001259992916666,44.306754053385,56.39583075416667,52.123525680583334,26.144685495833333,2.0117286641666667,68.28146006775,7.271366193833334,17.236258391666667,1.8476861968333331,87.51974452083334,90.15319907916667,26.884445052916664,5.659525298333333,32.37236980541667,65.76109136859166,66.91744878625,75.94796544666666,4.9617375395000005,38.1803508875,29.58313880833333,115.38711206666666,279.2621845833333,277.4738908333333,280.35591416666665,285.26032625,278.95251791666664,278.060325,286.9975508333333,282.11798541666667,285.18914375,280.9159354166666,275.22727125,280.21897458333336,283.624985,271.50916375,285.47649416666667,283.69518166666666,281.92554291666664,277.57480416666664,262.2047704166667,282.03183458333336,283.1471725,284.62836458333334,278.4076304166667,278.4760845833333,277.13276583333334,285.21802541666665,265.9373954166667,285.60551833333335,286.65375958333334,280.70132541666663,279.65995458333333,269.57790833333337,282.08873708333334,278.467955,274.78263208333334,16.38,2904.93911345546,27.29979759964,44930.795983164004,616.8303773306,118.726026225,1118.114330502,2923.7907236759997,846493.51689931,70976.443405098,2521.33040125,430.783924015,183102.423415645,33986.468833866,255283.407119741,2617.4380603228,2211.17065834,14151.1860724806,16.026087372,1131.93346726192,2691.450341882,1487.480159844,964.20660084,0.4131577502191995,11.855981183573201,117597.489823979,24680.72004664,63626.319858555005,371.40707325,19224.832782343,6.6466665875999995,32.883070860000004,40131.785872146,45197.3574563989,10324.05,22487.27,1929.77,108241.92,36680.68,15258.9,358319.8,20030.26,17946.25,197635.18,736.91,50314.32,3517.48,36478.52,39938.54,32829.59,145478.95,71667.13,26954.9,42377.55,33137.26,11851.22,1
2023-01-02,182218,33561.6,212489.9,103898.6,158348.3,11486.2,170844.6,1248147.2,92744.1,25197.6,132145.6,605855.9,267753.8,1277543.3,45167.1,101601,70683.5,740581.4,30480.1,13636.6,21384.1,8729.1,23491.3,303595.9,452127.3,396614.3,129541.7,120249.4,111773.7,456553.9,32904.9,71401.6,94.53084465833332,53.09804843625,73.1192613875,19.503819269166666,87.73109347631667,51.391732,131.40994461404168,36.51644301666666,27.436810591666667,6.879776559166667,11.360267029166666,104.94587046666668,62.298845379791665,3.821759618,35.73171628471667,59.7631450625,49.97199288416667,33.79138081083333,1.5308994470833335,62.11899980058333,7.106758679958333,8.571315045833334,10.285738523333334,76.49142219583332,94.88204125833333,18.766888902083334,4.916554873333333,28.106238735833333,89.50925470819584,67.46647133124999,76.26345192,2.7056876315416667,39.5045371875,21.343104792055417,117.35539782500001,279.347555,276.5670620833333,280.0434383333333,282.27529583333336,278.75961666666666,277.34756166666665,287.27324333333337,279.9631170833333,283.24457875,279.86403,271.950175,279.7511895833333,282.069365,266.49994166666664,282.9340945833333,282.84261791666665,280.86249000000004,276.04681375,270.09460416666667,281.8908920833333,279.83681375,282.4088116666667,275.35882791666666,278.0345545833333,277.2234095833333,282.0806108333333,264.3394241666667,282.83733416666666,282.1581508333333,279.8571733333333,279.15750125,265.3127004166667,281.5468245833333,278.8474391666667,274.66730666666666,124.37,3610.8064775194,34.8093914216,31739.758919232,357.73592748344,89.824909725,911.521571298,2342.9713293,765048.59787175,49728.71385713,3521.9345551,133.875536057175,35646.215728104245,17486.33881815,122388.051803556,3082.7783689559997,1649.314379006,33155.2715515637,36.108644544,3974.7397236473003,1573.5610181699,1267.695537716,1092.311095184,1.2296537882899996,3.0862512821231998,81768.26030566,9314.4305890384,49879.042945076006,39.0107863175,13553.788508347,5.0506089763999995,14.847086231999999,45379.66698696,33914.3149052076,10293.44,21892.25,1708.06,119262.51,34625.54,14437.72,378009.88,20308.55,17000.24,198369.75,727.94,56557.63,3508.27,37094.46,40230.41,32303.92,148271.77,72357.69,26574.37,41620.25,32898.61,11974.95,1
2023-01-03,201079.4,34981,249610.5,116173.6,176773.8,11633.9,188697.6,1483197.8,103650,26030.2,145621.3,690007.8,278627.1,1471374.2,46161.1,114947.5,80498.8,821131.2,32732.1,18172.3,22310.4,9197.3,24872.6,331227.2,469971.1,450283.2,149190.5,142631.6,118707.7,478805,38438,79414.2,95.79399332499999,19.221781600416666,65.67640175,27.669441597083335,85.96438126766667,32.81888933333333,131.03609912283335,31.344190492916667,29.33716828333333,22.408616494583338,7.8478648625,101.302869225,92.11237728191666,2.23818643375,51.48963437424833,51.54514774583333,26.654917245208335,6.274726354583333,1.9634527583333332,57.0424302605,14.225449521500002,18.594072075,7.79077751886875,85.38813844583332,92.82935557083334,23.821014074166666,5.9496095,26.885300658333332,107.18103115972083,60.835303341666666,72.63692631541666,6.83860940375,20.308309935,26.517604852625,117.81236644166667,279.45233666666667,276.36827958333333,279.7048854166667,279.7042891666667,279.30617666666666,275.9249766666667,286.9983629166667,278.41129,278.57699125,277.46201958333336,273.418925,279.8126045833333,280.2594975,264.9180020833333,280.29568375,282.36725041666665,279.88997708333335,283.38149541666667,269.75269791666665,281.74065041666665,277.62263666666666,279.09036583333335,276.29753875,277.78628083333336,277.39815416666664,279.22125124999997,262.85824375,279.12795750000004,279.9252666666667,279.30546,279.0283875,263.9293225,280.21244541666664,278.38502750000004,274.8208995833333,146.63,2511.83582178749,13.04877578566,35820.189174588006,1043.5587958849999,1.3909209724649998,658.2138823204,966.5717357658,351145.32885262,60911.825029902,4453.9479648,244.425346112875,19753.4010144829,5831.1133852428,100963.52042819701,985.6392759670599,682.567872665,79985.557439843,14.230687799999998,1651.92070816964,2621.309134094,778.052238784,2433.9824836,0.4777712893388999,266.56907992588003,86904.186408015,7252.331782810799,44049.881512064,53.672521775,16709.556524985,7.2876127323999995,18.639748152,3672.0954680740597,9647.84272354969,10751.23,22975.2,1667.34,130361.85,50112.36,14718.72,376714.23,20147.56,16914.72,225318.05,713.24,57765.29,3398.76,36320.02,40521.28,33407.36,147319.84,63275.42,26155.63,42431.75,32802.51,11620.18,1
2023-01-04,200899.1,35549.6,252329,118325,178888.2,11546.3,192748.2,1501714,105838.1,26441.7,144266.8,703745.1,283407.6,1507549.2,46597.2,115352.3,79642.7,832371.1,33468.3,18167.3,22703.4,9728.7,25442.7,334161.2,465405.2,455547,150914.7,144835.6,121181.6,486773,38765.8,80415.1,90.88659310416666,45.98728832208334,51.55154502083334,5.7602835575,57.013707402416664,50.2618645,137.12005569420833,22.41285735566667,10.519510233333333,5.5731241782500005,9.766991291666667,102.11033299166667,101.26758846679166,2.954187474833333,33.89858561488167,52.24561261666667,50.95678788166666,25.969935824999997,1.9724653195833335,68.77970419225001,13.302319802791667,6.250337161666667,14.058476917431085,67.34288915416667,81.28631097916666,10.257859914583333,2.522441972083333,22.702451566666667,102.058791714625,29.7364871275,39.121655085,2.23415114375,40.09603563333334,37.818038296333334,116.04910284734054,278.6249945833333,276.115005,278.9575975,283.4396879166667,278.70794625,275.00325791666666,286.6953329166667,276.78966125,280.51470291666664,280.59483,271.3357779166667,280.6235791666667,279.36641833333334,263.4692708333333,281.46768208333333,281.2694175,279.28333208333333,283.40651833333334,266.43003166666665,281.4733029166667,273.66720833333335,281.35359875,272.90507625000004,276.55934083333335,276.95047833333336,284.13951291666666,264.775725,276.87708125,280.64343916666667,278.0461325,278.4296225,264.5784254166667,279.98463250000003,275.95037291666665,274.81883999999997,118.68,7647.0361901182,5.413230057237999,49618.743156528006,593.42288995818,161.85769296750001,378.7440252825,4702.705887768,1119490.96070154,97032.156871188,2095.54313267,650.375319306,15492.8926954602,13013.629187696999,189345.950577098,458.0216705493,1873.733468145,79438.804533792,6.263857574399999,3720.5737284392803,1174.259931972,1874.62440562,1016.88620578,3.0477405848089996,1355.6270109572,135531.31731483,46587.119181144,49039.966691313006,44.328017700000004,16855.573112755,5.66335535324,27.67850418,5326.36538235024,68960.82981286189,10496.54,22797.32,1563.02,131693.79,40585.25,14074.86,364534.03,18963.06,14152.12,206812.44,723,56981.51,3439.39,38349.55,40383.91,33363.79,144743.16,61647.3,26765.19,42565.54,32432.15,10863.8,1
2023-01-05,197621.3,35684.6,251473.8,115585.4,174869.4,11934.7,191022.4,1481254,105647.9,28002.3,143252.6,657364.9,284107.9,1463592.1,46855,116466.2,79924.8,803520.8,34172.3,18465.8,23473.3,9740.7,25496,331697.5,466274.3,439985.3,151601.5,145187.5,120526.9,480083.7,39140.1,78870.8,92.39594605416666,31.672638324999998,68.43895430416667,18.230570579166667,77.24947833833333,32.911341875,121.69352072983332,34.18294974416667,22.967825458333333,16.139530361145834,13.704917458333334,90.46988030833334,103.84791648766667,3.575434401666666,32.32799936070417,50.88931993333333,34.315230471666666,7.900497125833334,2.112926977083333,72.71419542708334,6.55872988275,12.574568411249999,13.8850627980625,87.97361063333334,80.81136673333333,21.664761519166664,3.762926605,18.524184595833333,108.59778301391667,43.64292215458334,70.54986470833333,4.166429356041666,36.891776488750004,27.237492447083337,106.50554153242375,278.3742404166667,279.02916,277.86307833333336,283.26934875,280.0317616666667,276.8910829166667,286.33784583333335,281.16691833333334,281.59761625,276.43993333333333,264.06507208333335,280.5377016666667,279.12101125,263.7329091666667,283.01446125,280.42773958333333,281.026465,282.5437283333333,266.02518833333335,281.1243504166667,271.8323325,282.56278249999997,267.50081458333335,276.3834908333333,276.97193833333336,283.2356066666667,265.51728041666667,279.6978495833333,280.9956225,278.44603624999996,278.75566083333337,266.44293666666664,279.69739458333333,280.16051583333336,275.2451691666667,140.40,26122.118350571,32.57221165552,34679.781599736,2976.4160085504,186.3730161975,133.95217460679214,6734.226278622,883490.42841818,51461.7048230208,5438.1120855,866.94133785775,8932.41345450394,13485.129882408,105712.184175668,1866.5378460871998,4891.57476031,68040.004567656,2.865441842399999,7538.0237086714005,1880.362317521,1158.734541732,2446.87473998,3.5932019612399997,235.21155846584,102348.50431779701,37433.962968936,67748.169853688,21.480054868575,79613.16207192,18.6819923836,25.26505134,19575.972391425104,192384.794609855,10756.8,22896.87,1816.7,130998.88,36533.89,13651.84,382902.19,18886.65,12397.14,203436.63,791.83,58926.36,3276.96,39174.85,40401.19,33372.83,142561.25,57708.53,26014.07,42481.17,32563.98,10745.03,1
2023-01-06,174548.9,34419,250934.8,114082.5,169271.8,11814,186943.6,1409521.4,103943,28595.1,123523.7,602728.2,274012.8,1449849.4,41662.5,114964.5,79427.3,674491.7,35987.7,19086.1,24493.9,9818.2,25109.9,327692.3,468913.8,387100.8,154080.4,145190.3,120029.5,471056.9,38526.8,73760.1,97.4491753125,50.51050557666667,72.24671754166667,16.551034017916667,81.61901211233334,62.996142375000005,125.9286445215,15.443050131666666,20.501904966666668,13.246853747333333,17.57843383333333,105.66459898750001,104.32876751366666,3.5376150029166666,47.5543836804,68.7512115,47.1747069,25.718672947083334,2.468427483333333,75.38744399941666,29.76975127458333,10.2621460375,25.415290492933334,83.32287743333333,89.30023265833334,33.183115494166664,2.913002935416667,16.407123073737583,85.31280478241668,54.94103431488583,62.13429288333333,2.9837157429166665,65.91238561083334,32.72548403995834,94.84380989765833,278.93092875,277.14214875,278.63797875,283.02052041666667,280.50098333333335,273.93675041666665,287.0447833333333,279.57042416666667,280.94999083333335,278.7821470833333,261.36907,281.14965333333333,278.229245,260.68478125,281.9902866666667,280.01241583333336,280.1511679166667,280.98251166666665,266.34332416666666,280.8420379166667,260.68267166666664,281.6094120833333,259.406315,276.80474875,277.51945041666664,283.1501620833333,265.36541958333333,274.6664575,280.6702441666667,278.049455,279.31615208333335,264.39543166666664,278.5345420833333,277.8345570833333,275.53395875,121.43,4629.3491229234,5.523978101632999,41912.380242096006,5790.1662172035,5.623824082574999,152.85539957732126,1750.641012258,573805.68399665,91443.054494792,933.79071348,2418.40743442425,25044.05089450115,8550.544918221,104974.285752098,323.7878681037,1980.0652795,64846.181256714,8.7564171456,2539.26104792972,926.066507319,1127.458406376,971.0326967,4.79121923586,2849.9528424336,111027.97921793401,62533.6099674,24573.617409652,27.915325714999998,54536.53547561,23.0410978772,36.35681394,2659.2127565662313,49917.65392531335,10604.88,23551.22,2030.6,118461.93,34874.41,14084.77,360563.97,19116.73,12807.87,206936.93,650.71,58693.8,3336.62,38500.59,40158.83,34613.03,138076.54,57855.44,26760.63,44497.05,32371.34,10664.62,1
2023-01-07,178275.3,34866.4,230444.8,111200.6,164143.2,11425.3,169172.2,1304640.6,92645,27073.8,130602.5,646134,285751.5,1368350.1,43763.2,107343.8,74332.2,704548.1,33180.1,17691.9,22403.4,9713,24947.1,298104.1,444789.5,386776.7,138917.3,140993,112622.3,439973.3,36341.8,72711,103.64447693749999,60.227902891666666,82.82656296666667,44.31364678333333,89.42500997166667,69.32807125000001,106.76391339943332,36.90832193333333,38.136419929166664,7.101540030583333,13.974313804166668,106.7752472125,66.13702365733333,3.3688961179166665,50.446129149822916,57.769154820833336,56.52228869875,33.040738383333334,1.6498852375000002,68.74936282666667,13.004369815833334,49.66166369583333,19.770991176875,95.173957375,101.40522575,36.67608516083333,2.916251529166667,21.218978690775,32.973020930958334,49.79084002634167,83.105017625,3.0151317083333335,41.07209797083333,40.78936234875,95.02608101073751,278.08479958333334,275.18351958333335,277.23660083333334,282.57369208333336,276.97552041666665,273.17005083333333,287.0672804166667,278.9746641666667,280.7095908333333,280.38963916666665,260.12729458333337,279.92107833333336,280.1185395833333,258.85145125,281.77366333333333,278.4131208333333,278.14156541666665,279.96511625,268.75618000000003,280.6001175,263.08596708333334,281.3500833333333,260.28315833333335,275.94107125,275.99138958333333,283.4585591666667,266.84346875,276.61677375,284.71286833333335,275.89851708333333,277.08267,268.04848,277.6062425,277.67790375,274.9877266666667,106.57,2839.94891276837,9.001826156526,46815.820168572005,198.91056778023,38.8587139455,69.9823329637608,1183.75667213286,514382.53230473003,74494.99297070601,4383.7464033,154.8225552175,198204.60342459998,16609.423553937,209922.89418190302,564.7923395371399,635.7905733102,70975.94268714401,27.507286704000002,1589.4652072461001,1589.666124091,1139.565610332,1447.01900574,1.9960769139666,23.2937035431708,131333.637338818,45050.431210024,15669.0171881125,332.14668925,6719.7794930725,5.62078706748,37.37382462,12742.099688955639,19514.29843647022,10442.63,22045.22,1818.43,85946.46,30812.58,14040.14,376178.01,19974.72,13339.71,200259.51,624.27,57247.42,3486.12,38522.53,40392.53,36093.39,137721.12,57439.61,26863.62,45923.5,32564.26,10767.68,1
2023-01-08,174662.7,33952.8,223039.4,112449.6,166022.4,10841.5,168215.7,1257616.3,89755.5,26218.4,131422.4,611494.7,275868.2,1317576.1,42744.9,104621.8,72230.8,681521.3,30476,16126.7,21505.5,9871.6,26329.9,281481.3,421279.8,381285.6,131199.9,133174.9,116720.4,426453.6,34467.9,74382.1,102.91451216666667,39.11427112333333,58.12004814583333,37.40569866375,87.79835431100001,30.660844625,120.22629802176665,25.725103215416667,22.309079041666667,15.92084809,7.0998168771425005,104.68527665416667,39.05961763208333,2.4589343452083336,33.64010659420416,56.40213572916667,36.81028911666667,30.973620355416667,2.0384846541666666,51.537587404166665,11.85687563625,30.811060079166666,8.932735979833334,83.27299775833333,100.76198307499999,37.270719835416664,3.59299574375,20.585787090220833,38.488321494833336,49.34522539359167,77.59444893166666,2.0353864604166665,39.465522604166665,18.86204244,104.6871468092,278.01276583333333,273.75639583333333,278.88494375,281.0494033333334,275.8902145833333,273.80354958333334,285.72862125,276.61892125,279.6653833333333,280.04048916666665,263.87215375,279.32711333333333,283.94398958333335,262.39115458333333,281.6071875,281.7152725,279.4244391666667,278.75625833333334,271.6873958333333,281.23561,269.60017875,280.60231416666664,266.3526854166667,276.3858275,275.84223041666667,281.49610291666664,271.36416875000003,276.34460666666666,286.7778183333333,276.1001841666667,276.93783375000004,271.62731041666666,280.12799958333335,277.52736625,273.58172,89.00,3287.4144919995997,142.0913883042,46103.237038404004,711.2924363216,74.9916456,214.52891982798,1495.681679658,634204.58642454,76015.192639078,5263.3439838,320.94399660475,358690.99867096497,40491.463468644,218983.610807157,4771.315345082,3234.81723467,72971.264865609,41.865564647999996,35537.8376912926,2410.782159204,1477.414104918,2022.8270242,23.591436911,423.787402972216,119931.27935885501,69544.7774778,41792.177270862,434.7467875,21578.442928201002,18.8642785812,45.0844791,56904.096828484,63166.738824723,11059,20638.89,1678.01,91491.62,34915.84,16185.09,368510.28,19669.84,13504.47,177943.35,602.22,56781.38,3229.3,39064.73,40964.62,36746.32,140548.88,66575.42,26794.07,45773.88,33325.51,10925.66,1
2023-01-09,207515.2,34394.4,254136.7,119657.5,186686.7,12298.2,194524.8,1530906.8,103972.4,28403.4,147741.7,708444.2,288467.3,1552524.1,48504.3,115875.1,79387.8,867713,33673.7,18481.6,23917.7,9972.6,25307.1,333660.6,442398.5,440266.8,146790.9,145486.9,123305.1,453603.8,38713.5,80299.6,34.239807525,25.492806112500002,32.8063243875,31.042020795833334,71.44928545229168,59.16737270833334,133.07361931920835,19.53615396625,25.7232307375,14.146928769875002,6.897310660475834,77.41014263333334,87.77034928041667,1.8735887808333331,48.810545952525,18.766785804166666,16.400919947916666,34.66743187083333,2.5508344907764164,51.37702276733333,12.056273370833333,21.59751055416667,9.5806057655,17.097474845833336,52.05886319166667,19.974918329999998,3.2371825333333333,12.380234156791667,81.72492804016667,44.5068470278,47.405776833333334,2.5640234774999997,11.861595358333332,13.365669605166666,116.86081644214583,280.418225,275.38635916666664,281.25074708333335,278.96605791666667,275.9097675,272.69145541666666,285.12355125,277.17797708333336,278.55836958333333,278.5975554166667,267.7601375,280.78307624999997,283.09254791666666,264.47429708333334,279.4345666666667,282.07104499999997,280.75734041666664,278.77198875,271.2089808333333,281.5384070833333,271.5603829166667,277.96710708333336,269.1383466666667,279.23847916666665,277.8156666666667,279.77008083333334,272.09103375,277.40357625,285.46669541666665,277.32580875,279.06096916666667,271.97667,279.80813541666663,278.7014791666667,272.78573208333336,134.80,14386.462269499,481.944911765,43384.22682594,2768.8075951155,309.536750925,464.96573794492997,2343.42140838,677808.92467312,54441.792691594004,6586.7586536,3358.69910838025,206690.38854448398,39541.835856321,266003.060849701,5768.991714057,3970.26183764,72936.759041421,40.70689884,83388.47682838001,2362.9452944590003,1608.69396271,2409.26572452,401.48344726,8777.5087048,101999.56572026401,53453.005406548,31800.376101192,78.3134153875,62583.54656679,70.511373088,23.76888588,26284.8563430648,100724.1041789856,10748.46,20602.27,1585.6,88546.32,47512.31,16588.13,372488.78,18629.03,15044.29,185283.45,648.1,58831.41,3218.34,39964.42,40778.77,36841.68,140602.08,70787.88,26866.78,46020.32,33243.96,11077.38,1
2023-01-10,213865.4,35879.8,266104.5,121296.4,189800.5,12401.8,199224.2,1585511.5,104834.5,28063.7,150317.4,736286.5,281764,1590249.6,49470.5,120123.7,81828.4,910779.6,33669.5,20041.4,23763.3,9827.7,25287,340088.8,441921.4,456137,152278.1,149051.8,125704.4,452053.9,40035,82845.8,71.20901297083334,40.576668994583336,32.76914958333333,20.118362675,20.315894130833332,65.45955708333334,137.34629931920833,30.885204177083335,29.06680151666667,25.443851970833336,5.7711989938091675,54.62719444333334,101.06788526533335,1.9197689445833335,36.6569345184625,34.29661519583333,10.811523619583333,5.427248102083333,2.6510877795291665,82.93443591666667,6.486526169,19.20303829166667,6.358720995833333,64.13691535,42.108090075,20.358351920833332,5.5579395125,12.776001005812502,56.68603240341667,23.464076560391664,20.868790252083333,4.1489483824999995,57.038567587500005,16.360879910416667,109.599031709675,279.1534179166667,273.94060333333334,276.9793408333333,278.49061375,278.7230770833333,271.4878929166667,285.12938916666667,276.67928666666666,277.71634208333336,278.59326625,271.22460125000003,281.7400375,281.3638375,265.8009191666667,279.8963145833333,279.323795,279.2804875,282.02611583333334,271.4536716666667,279.08481291666664,274.17423291666665,277.2769870833333,272.5757658333333,276.63082375,278.55354375,279.75999875,271.0426958333333,277.25899875,284.17429583333336,278.51558666666665,278.00645541666665,271.8797891666667,277.80315791666663,277.09973333333335,274.07253625,135.14,30461.296399352,447.058172398,43476.132021504,5937.6208276200005,148.04699925,83.03944629152105,3123.866336916,676525.08504952,67746.534535834,5277.5292366,11188.439300185,71603.9712849696,21193.43366034,173559.449163632,6831.112601885,5280.02984726,83868.646939935,24.682190472,76200.51784757001,967.153281288,1343.4438285200001,1707.8773778,64.2800379399,4354.516271836816,116907.971974727,33359.964574339996,12751.614901295,25.804036975,61394.90985096,35.848504796,19.09547373,18704.3797785376,158770.140900878,11322.12,22049.19,1734.13,88569.4,48085.2,16273.62,382607.33,18335.84,15778.42,190184.5,777.48,54127.65,3096.44,38626.54,40517.63,36824.86,140348.38,70903.36,26783.26,46359.64,35634.22,12238.91,1
