date,air_temp_CZ,air_temp_DE,air_temp_HU,air_temp_RO,air_temp_SK,precipitation_CZ,precipitation_DE,precipitation_HU,precipitation_RO,precipitation_SK,electricity_daily_average_CZ,irradiance_CZ,irradiance_DE,irradiance_HU,irradiance_RO,irradiance_SK,electricity_demand_CZ,electricity_demand_DE,electricity_demand_HU,electricity_demand_RO,electricity_demand_SK
01/01/2019,9.52,6.88,8.91,6.44,7.89,0.000485802716070444,0.00520480123301764,6.03841576283503e-06,6.94296408453462e-06,1.51249320827165e-05,297.20,24.7767862432667,14.6068410297893,48.2130815685732,63.6605975555128,28.5950916150721,-2745039.3,-792599,124372.4,70352.7,-35413.2
02/01/2019,8.47,6.42,8.93,5.99,7.06,3.85620286938867e-05,0.000688437905852164,4.88705168652728e-06,6.78120636453399e-06,4.88036037247473e-06,979.67,31.8691510563471,27.312165533975,47.1383221495545,62.1104466616916,30.745083159711,-2715593,-575954.5,134195.2,71218.6,-28065.1
03/01/2019,6.37,5.73,7.81,4.70,5.52,7.06731502521742e-07,5.07645783082845e-06,5.281778810127e-06,3.39870240879593e-05,7.69841958538672e-06,1515.75,34.4104006705429,30.7328360829407,41.3531807134419,49.2564782097861,34.2271167795969,-2711470.6,-534798,136733.4,84282.7,-26380.5
04/01/2019,8.02,7.94,7.33,4.61,6.24,8.89773704689931e-07,7.31347337119044e-06,6.17408619338706e-06,7.9050170429302e-06,2.28304513989628e-06,1366.19,39.8469699022775,35.2054524553591,50.8996287201108,56.2608813254211,40.9436219588785,-2717300.5,-539914.3,135093.4,83287.1,-26196.1
05/01/2019,7.34,7.21,6.44,4.90,5.02,7.45096892752749e-07,0.000145672483060068,5.45053913012977e-06,1.27526471750605e-05,3.71395213056283e-06,1115.17,40.563761596648,37.9953194389067,56.7356364922715,59.7748296886021,46.0738440383675,-2732512.4,-695411.8,128318.2,77908.9,-29821.9
06/01/2019,5.62,5.31,5.77,4.94,3.82,8.16797740037473e-05,0.000397568207519251,1.66856617414657e-05,4.85288857995116e-05,0.00015140363506299,1335.92,36.6736729351398,35.4881833917431,51.6721593860482,65.4161951094096,40.1455149275802,-2735119.6,-710648.4,125897.5,70567.7,-32670.3
07/01/2019,0.16,0.52,2.72,2.50,0.99,0.00119427967462126,0.00075923050383686,8.84735659826921e-05,0.000247639990155172,0.000186501011518935,1577.39,29.5491433074594,25.6339045668189,49.2622162840071,54.2817813008332,32.1131614859058,-2694106.6,-345135,147331.5,92267.9,-20208.9
08/01/2019,-4.29,-2.48,-0.70,0.98,-2.48,0.000846876043367946,0.00141217050889369,0.00416245471899868,0.00356828834715787,0.00190021168571999,1443.21,33.2705611733883,29.3333911017064,23.0887497856463,35.4325039051915,30.853601686546,-2682449.5,-200359.9,158328.4,97479,-15861
09/01/2019,-6.34,-4.64,-3.51,-0.61,-6.59,0.00075077460300153,0.000830697717523385,0.000913465906641202,0.00171591397022018,0.000803910080847992,1470.05,36.7880662384495,33.0916128834352,44.5603451738626,33.6538682764096,45.0678576585467,-2674689.9,-119512,166265.2,100528.9,-14200.9
10/01/2019,-10.16,-7.55,-6.00,-3.52,-9.87,7.37210736786197e-05,8.80401287035435e-05,0.000836984981926474,0.00665559341867915,9.42247965476182e-05,1731.24,51.4477775007857,46.7843094603841,42.0123019766764,26.359923203571,50.3312757444765,-2665411,-31735.6,175337.6,104236.6,-13464.5
11/01/2019,-11.23,-7.39,-8.20,-5.95,-12.59,1.45184605520091e-05,0.00238134365709681,0.000223478917774747,0.00378241027952881,0.000109521421135033,1488.90,55.5176118046339,37.5527838910448,46.6305394291422,35.3609081111057,54.0792711060541,-2660977.3,-582.6,182770.3,106247.7,-13171.9
12/01/2019,-8.14,-2.08,-9.10,-7.54,-11.98,0.00219927562243407,0.0027298442090261,2.54631846593713e-05,0.000269583518116226,0.000196661339684635,1213.30,33.4383355650674,22.3875995951166,69.7764167807961,56.2032052365276,61.5670417712354,-2682828.1,-200672.1,179455.2,97617.8,-19639
13/01/2019,-1.61,1.56,-4.81,-7.54,-6.11,0.00833407140361156,0.0052447940193243,0.00169111494786788,0.000411448981066479,0.00585384939773453,1008.95,27.6214969011054,15.8487010134317,42.8389879263227,68.2958637880541,40.2049763171212,-2692553,-360091.9,177662.4,88408.6,-22284.3
14/01/2019,2.51,4.51,0.54,-2.96,0.45,0.00621036272066882,0.00428485407760824,0.00420982509792102,0.00593682026759012,0.00865151666613884,1219.27,13.0319967421447,10.2789368952105,32.0104344474064,42.8167183906281,24.563841221217,-2669355.8,-91958.4,187604.3,104275.5,-15693.2
15/01/2019,2.73,4.96,2.17,-0.42,1.04,0.00139879844825701,0.00238492775867689,0.000137105668761387,0.00156538251006881,0.00104830831272284,1269.70,20.7545733152466,14.1978339745594,43.7901742119956,46.3533195028143,35.5387774752159,-2668771,-79147.7,185503.4,107461.3,-14378.2
16/01/2019,3.08,4.75,2.46,-0.11,0.87,0.00232792914535807,0.00611701796521933,0.000339093435277151,0.00104093869022096,0.0011914592114158,1222.10,28.7961523856958,14.9495135316216,42.7701044121923,47.5457255802932,40.7481144065561,-2671630,-100039.4,182124.7,108208.8,-14184.4
17/01/2019,4.41,6.36,3.43,-0.03,1.58,0.00461690364877244,0.00739288051865146,0.000378064850494926,0.00143691432341124,0.00269621609320122,1218.60,23.476927384338,13.0609092342733,40.336769685938,54.2695614206756,26.174139325209,-2674381.5,-135656.8,178634.5,108484.4,-14325.7
18/01/2019,3.87,4.71,4.48,1.89,2.39,0.00251065308699732,0.00427733729605451,0.00101181413685784,0.00225328942698906,0.00154107338579403,1628.39,31.5602156096403,20.1631688644476,43.4867375204862,51.7402150131146,31.0814227080864,-2679077.1,-201530.8,172724.5,105812.8,-15397.7
19/01/2019,-1.53,0.81,0.09,-1.17,-2.44,0.000568291365478256,0.000748078030302243,4.99743310771656e-05,0.0012186311800569,0.00120199850988021,1463.19,41.9040502255102,39.4309478799548,61.128510411032,61.1542454185995,55.9848931913347,-2702159.5,-385373.3,163879.9,95579.8,-21663.2
20/01/2019,-3.87,-0.04,-2.72,-5.69,-5.49,7.60978096882435e-05,0.0025570695780675,2.25463541928906e-05,0.00023722342214367,0.000104441235606932,1441.96,59.6243799061435,39.5942356251821,72.5652468715314,74.3533126825256,63.9633961349059,-2703709.3,-485827.4,161131.3,87341.8,-23310.5
21/01/2019,-2.87,1.94,-2.87,-5.78,-5.95,0.00421925904777016,0.00232701100432575,0.00214065279001792,0.00073877734273849,0.00189900463967381,1877.15,26.3587207877667,24.9581332961307,31.6848825971593,74.1559308265743,41.3797332444939,-2669763.4,-159107,179756,108560.4,-13830.1
22/01/2019,-1.20,4.00,-1.56,-3.52,-4.10,0.000100457348124214,0.00163300240636944,0.000102219943801377,0.00081140811608841,0.000173045538258998,1678.06,41.209008973383,33.8854869863132,59.8018116409264,58.1002053544048,46.0098013769657,-2667341.2,-140727.3,181599.9,110645.1,-13462.6
23/01/2019,0.36,7.30,3.03,-2.23,-0.24,2.05572558262543e-05,0.0044018098491183,0.000271797730767679,0.00010348760483367,0.000819555113932301,1895.04,40.6679970172856,30.0058948303534,60.2895938441047,69.2938332986589,17.8633700076584,-2669091.6,-183924,178136.6,110272.9,-14292.4
24/01/2019,3.95,7.69,5.08,1.92,3.94,4.87379880249708e-05,0.00190307781154396,5.15087604727967e-06,7.63958239630209e-06,3.06875532463571e-06,2151.25,41.1112312316964,38.582483751674,72.4008392174676,83.3919196947441,46.8498644495606,-2673574.6,-219853.9,172334.2,106918.2,-16274.1
25/01/2019,5.71,6.23,7.09,4.37,5.04,1.53918059697935e-06,0.00146682719874443,8.49670213848463e-06,8.41176177569439e-06,4.91578910716884e-05,1795.14,51.9189360666507,40.8025123734936,61.543388876197,81.6559451985547,46.7263269676355,-2682217,-255974.4,165309.2,103279.7,-17077.2
26/01/2019,6.55,6.34,7.31,4.32,5.74,7.85371891698666e-05,0.00141415763739508,7.24076494319634e-06,7.88584173844557e-06,0.000145781278872002,1325.89,39.5059674966418,41.8035091658723,63.1580356485062,88.2613897989668,37.802459705239,-2709644.1,-487037.2,150671.2,92081.4,-23460
27/01/2019,6.46,8.22,8.53,4.62,6.64,0.00129735289447737,0.00782665305382604,1.8105900783853e-05,9.93233584284814e-06,0.000407909616234974,1027.16,24.5088393299849,14.8639538008019,74.6480120282107,87.7406545155276,32.2808107078793,-2716525,-635709,140591.2,79483.4,-26132.5
28/01/2019,8.56,8.34,8.52,4.95,6.64,0.00501249469767469,0.00567211621011313,0.00110901098564554,0.00107744160330347,0.00404958041565434,1448.87,29.8369765752126,37.5659274368899,32.7139235364873,76.3329843399867,16.7453732949321,-2689979.3,-339163.5,151877.9,99074,-17553.4
29/01/2019,4.67,5.79,6.51,4.78,4.30,0.00194211205901184,0.00197017085901635,0.000824670840659038,0.00191682773398773,0.000845664798714194,1610.67,36.156692848886,34.9188410396116,46.3375903242145,38.4870707804348,52.7895556150342,-2687222.5,-285986.9,151943,101300.5,-16678.1
30/01/2019,3.23,3.42,4.40,2.76,2.61,0.000678980391052487,0.00168363186317131,0.00153339949502695,0.00485795720428208,3.6008338058414e-05,1595.60,52.9202308899805,51.236581978923,58.7836090691095,48.2685117982872,60.405018562928,-2686276.1,-256924.5,153279.7,103490.2,-16152.3
31/01/2019,1.09,2.86,1.37,0.29,-0.67,0.00164115650569225,0.00400702801875646,4.36667789403474e-05,0.004242822192628,0.000299696672305744,1589.86,50.3390987207292,45.323518866842,90.0391648294181,69.7425317242705,74.4457353503181,-2683883.8,-233995.4,156874.8,105688.3,-15377.8
01/02/2019,1.32,3.87,1.40,-1.66,-0.98,0.00859939116558248,0.00386019742116858,0.00403607922591552,0.00227113282648577,0.00505113606917503,1430.93,39.2332183463929,29.993188036841,47.1293861518437,67.7531237710233,46.2259901881029,-2684660.9,-239150,160144.5,106591.1,-15408.1
02/02/2019,2.16,6.75,-1.04,-4.97,-3.27,0.00722824624303855,0.00743850445411057,0.00112123492734202,0.00092961154221021,0.00117680236604706,1315.79,36.1778390893246,13.8188460974326,70.2476616979169,77.9718704622375,76.9725863011023,-2708907.5,-496444.4,153702,98717.3,-21341.4
03/02/2019,4.11,5.89,-0.79,-8.02,-3.13,0.00506841494074571,0.00409882862937566,0.00477672146588996,0.00179516051891432,0.00656921581698246,1135.12,61.0524553307149,49.2435897284008,30.423633532088,81.6434416354167,36.5171742877187,-2715790.8,-616179.2,153409.5,89222.5,-23868
04/02/2019,2.48,4.06,1.34,-3.00,-0.36,0.00640109100485392,0.00806626530859912,0.000668600084724882,0.00112544902501477,0.00347189965909142,1269.20,52.8136343731079,34.460271631946,80.5275695179365,73.6433586068642,66.1607150574787,-2685513.6,-278759.2,165457.7,106594.5,-16874.7
05/02/2019,7.93,8.33,6.12,0.72,3.75,0.00291076453504215,0.00731138988785849,0.00220844471696779,0.00372655234121726,0.00344981715295603,1415.59,43.7063960132351,24.8926185353135,67.515546039511,55.665667900105,48.189943871595,-2687364.7,-262685.3,164281.4,107214.5,-15797.7
06/02/2019,3.58,4.08,5.79,2.43,2.95,0.00532922666193761,0.00739166937623984,0.000490484942577613,0.00434888109990609,0.00331905405014427,1356.17,45.0260629385619,38.705332605703,75.1444417914082,58.8656929794099,58.7816435548603,-2685561.2,-231922.8,161910.9,106536.5,-15374.3
07/02/2019,-0.32,0.32,1.84,1.15,-0.37,0.00255803087967224,0.00411721380751667,0.0143274026219147,0.0089231183727605,0.00153753079943133,1200.03,65.9644448633664,69.6956498228109,32.7633743198315,71.2330203455697,65.3575517180185,-2683376.7,-187905.2,165646.6,107744.5,-14603
08/02/2019,-3.22,-1.52,-1.12,-2.21,-3.65,0.00208831301802978,0.000990569471713319,0.000248539775200294,0.00439408579930092,0.00223410960291516,1229.57,52.7184840345134,63.5190324448126,90.4692798967441,75.129760553395,69.2827442729264,-2679656.8,-163073.6,167038.6,109484.7,-14373.7
09/02/2019,-0.91,1.79,-2.47,-5.77,-3.32,0.000753651596661789,0.0007386224227853,7.87132229951951e-05,0.000368361680462571,0.000699169611293305,1034.52,49.3055827724348,47.2684268325195,95.8710333232411,101.083061647109,78.9823873113848,-2703597.8,-406276.1,160604.4,100455.3,-21269.1
10/02/2019,0.93,2.06,1.04,-3.96,0.50,0.0023260817874067,0.000884434316924889,0.00145424530319799,0.00162897316620387,0.0028357335457272,664.16,36.7747574444112,46.11207370774,51.1288794292491,74.5112709545606,40.5941425997016,-2709027.3,-520353.5,157168.8,87792.3,-25019.1
11/02/2019,1.49,4.29,2.16,-1.14,0.33,0.0043268406226406,0.00430234182491456,0.00127877459165651,0.00284899171590987,0.00368878785920218,1074.54,34.6377249008142,27.9537128138837,54.3543432637493,63.0888242422432,62.5784162108256,-2680964.4,-211936.5,169202.3,106182.1,-16784.5
12/02/2019,0.98,5.42,-0.14,-6.02,-1.75,0.000647724261778898,0.000768605762912912,0.000313992012836829,0.000308751891596607,0.00128381061991835,1172.75,45.3216939719652,35.2454261925226,101.273238785883,118.247314629527,82.2825133635348,-2678529.9,-186697.8,172305.7,113619.4,-14481.7
13/02/2019,2.54,3.94,3.51,-2.37,1.19,0.00233889942259322,0.0011998541393869,0.000854141587038421,0.00264240537345546,0.00186258674698464,1214.15,46.8940482070471,47.6739851719249,76.2636090729599,83.8650925184609,61.5038889276013,-2678734.5,-178874.8,170947.3,112062.3,-14887.1
14/02/2019,0.16,2.60,-0.28,-4.81,-2.98,0.00013533978227737,3.21113549549647e-05,0.000145502117173779,0.000227806827554691,2.81292351251997e-05,1289.42,76.7517464360121,72.064076102643,111.664254671603,111.93857370549,103.778444144982,-2679532,-178240.2,172021.1,114016.7,-14395.1
15/02/2019,0.06,2.65,-0.27,-5.03,-1.95,6.91648878939095e-06,0.000139692802741364,2.9988211785126e-05,0.000104814472452458,9.92812787297279e-05,1191.53,98.542180723268,69.2474070446766,110.585077310397,119.62486939238,99.0765526250146,-2682438.7,-196766.3,172188.9,113166.9,-15271.1
16/02/2019,1.91,4.61,0.62,-2.76,-0.54,0.000139087450296417,0.00156928325445882,8.06465843670621e-06,2.18800347466595e-05,0.00011329982313719,1096.60,82.62078999999,50.1731515281605,117.155271908022,128.187658764434,100.307899701111,-2706918.7,-441737.5,161903.7,99447.5,-22418.7
17/02/2019,4.88,7.93,3.43,-0.42,0.98,0.000822333221662544,0.00375080127301014,2.27765113408326e-05,1.06702837280742e-05,0.000297102721649146,996.16,62.5271744514499,41.4241096034883,95.0644644132087,127.263279826012,74.5154445219055,-2715114.9,-603320.2,154989.1,85643.1,-25393.1
18/02/2019,7.34,8.64,6.42,1.79,4.28,4.58781373221616e-05,0.000421068580314027,4.54587148258386e-05,2.64825803897997e-05,7.81667954288306e-05,1211.66,71.3609052666099,58.9120261207064,94.5805227593848,112.548405524752,84.2705944394216,-2690613.8,-311189.4,162636.9,104351,-18065.7
19/02/2019,7.46,9.91,7.03,2.89,5.72,1.99334392026706e-06,0.00028542927870907,8.18970974466947e-06,9.31109607472028e-06,5.72656211252811e-06,1192.05,93.9519266185553,84.2629916290813,103.035392196509,129.357837195986,88.5930977158883,-2692144.4,-318596.8,160509.6,106611.6,-17040.1
