date,air_temp_CZ,air_temp_DE,air_temp_HU,air_temp_RO,air_temp_SK,irradiance_CZ,irradiance_DE,irradiance_HU,irradiance_RO,irradiance_SK,electricity_demand_CZ,electricity_demand_DE,electricity_demand_HU,electricity_demand_RO,electricity_demand_SK,hydro_energy_DE,hydro_energy_FR,hydro_energy_RO,hydro_energy_SK,price_mwh_eur_DAM
01/01/2019,9.52,6.88,8.91,6.44,7.89,24.7767862432667,14.6068410297893,48.2130815685732,63.6605975555128,28.5950916150721,-2745039.3,-792599,124372.4,70352.7,-35413.2,3180.08,48122.87,11383.7,541.24,
02/01/2019,8.47,6.42,8.93,5.99,7.06,31.8691510563471,27.312165533975,47.1383221495545,62.1104466616916,30.745083159711,-2715593,-575954.5,134195.2,71218.6,-28065.1,3335.45,47430.4,11252.29,540.45,
03/01/2019,6.37,5.73,7.81,4.70,5.52,34.4104006705429,30.7328360829407,41.3531807134419,49.2564782097861,34.2271167795969,-2711470.6,-534798,136733.4,84282.7,-26380.5,3446.28,44167.71,11027.53,541.61,
04/01/2019,8.02,7.94,7.33,4.61,6.24,39.8469699022775,35.2054524553591,50.8996287201108,56.2608813254211,40.9436219588785,-2717300.5,-539914.3,135093.4,83287.1,-26196.1,3420.86,44145.52,11026.75,544.93,
05/01/2019,7.34,7.21,6.44,4.90,5.02,40.563761596648,37.9953194389067,56.7356364922715,59.7748296886021,46.0738440383675,-2732512.4,-695411.8,128318.2,77908.9,-29821.9,3492.6,44152.19,11123.96,546.64,
06/01/2019,5.62,5.31,5.77,4.94,3.82,36.6736729351398,35.4881833917431,51.6721593860482,65.4161951094096,40.1455149275802,-2735119.6,-710648.4,125897.5,70567.7,-32670.3,3507.04,45090.37,11226.66,549.81,
07/01/2019,0.16,0.52,2.72,2.50,0.99,29.5491433074594,25.6339045668189,49.2622162840071,54.2817813008332,32.1131614859058,-2694106.6,-345135,147331.5,92267.9,-20208.9,3508.13,51142.89,11316.82,556.94,
08/01/2019,-4.29,-2.48,-0.70,0.98,-2.48,33.2705611733883,29.3333911017064,23.0887497856463,35.4325039051915,30.853601686546,-2682449.5,-200359.9,158328.4,97479,-15861,3451.07,66857.36,11295.58,577.68,
09/01/2019,-6.34,-4.64,-3.51,-0.61,-6.59,36.7880662384495,33.0916128834352,44.5603451738626,33.6538682764096,45.0678576585467,-2674689.9,-119512,166265.2,100528.9,-14200.9,3434.42,67836.61,11099.18,577.6,
10/01/2019,-10.16,-7.55,-6.00,-3.52,-9.87,51.4477775007857,46.7843094603841,42.0123019766764,26.359923203571,50.3312757444765,-2665411,-31735.6,175337.6,104236.6,-13464.5,3374.02,68265.77,11350.21,580.56,
11/01/2019,-11.23,-7.39,-8.20,-5.95,-12.59,55.5176118046339,37.5527838910448,46.6305394291422,35.3609081111057,54.0792711060541,-2660977.3,-582.6,182770.3,106247.7,-13171.9,3238.56,68237.06,11409.81,580.31,
12/01/2019,-8.14,-2.08,-9.10,-7.54,-11.98,33.4383355650674,22.3875995951166,69.7764167807961,56.2032052365276,61.5670417712354,-2682828.1,-200672.1,179455.2,97617.8,-19639,3264,66665.66,11400.82,585.39,
13/01/2019,-1.61,1.56,-4.81,-7.54,-6.11,27.6214969011054,15.8487010134317,42.8389879263227,68.2958637880541,40.2049763171212,-2692553,-360091.9,177662.4,88408.6,-22284.3,3235.52,58415.05,11375.73,572.16,
14/01/2019,2.51,4.51,0.54,-2.96,0.45,13.0319967421447,10.2789368952105,32.0104344474064,42.8167183906281,24.563841221217,-2669355.8,-91958.4,187604.3,104275.5,-15693.2,3223.14,54520.99,11824.95,566.44,
15/01/2019,2.73,4.96,2.17,-0.42,1.04,20.7545733152466,14.1978339745594,43.7901742119956,46.3533195028143,35.5387774752159,-2668771,-79147.7,185503.4,107461.3,-14378.2,3157.49,53416.95,11318.21,578.33,
16/01/2019,3.08,4.75,2.46,-0.11,0.87,28.7961523856958,14.9495135316216,42.7701044121923,47.5457255802932,40.7481144065561,-2671630,-100039.4,182124.7,108208.8,-14184.4,3142.35,50517.52,11725.84,568.79,
17/01/2019,4.41,6.36,3.43,-0.03,1.58,23.476927384338,13.0609092342733,40.336769685938,54.2695614206756,26.174139325209,-2674381.5,-135656.8,178634.5,108484.4,-14325.7,3134.34,45326.32,11814.36,575.79,
18/01/2019,3.87,4.71,4.48,1.89,2.39,31.5602156096403,20.1631688644476,43.4867375204862,51.7402150131146,31.0814227080864,-2679077.1,-201530.8,172724.5,105812.8,-15397.7,3119.77,44060.5,12431.64,571.47,
19/01/2019,-1.53,0.81,0.09,-1.17,-2.44,41.9040502255102,39.4309478799548,61.128510411032,61.1542454185995,55.9848931913347,-2702159.5,-385373.3,163879.9,95579.8,-21663.2,3120.72,50274.22,11402.38,566.42,
20/01/2019,-3.87,-0.04,-2.72,-5.69,-5.49,59.6243799061435,39.5942356251821,72.5652468715314,74.3533126825256,63.9633961349059,-2703709.3,-485827.4,161131.3,87341.8,-23310.5,3138.04,45558.21,11614.22,567.44,
21/01/2019,-2.87,1.94,-2.87,-5.78,-5.95,26.3587207877667,24.9581332961307,31.6848825971593,74.1559308265743,41.3797332444939,-2669763.4,-159107,179756,108560.4,-13830.1,3153.46,47903.51,11538.61,585.63,
22/01/2019,-1.20,4.00,-1.56,-3.52,-4.10,41.209008973383,33.8854869863132,59.8018116409264,58.1002053544048,46.0098013769657,-2667341.2,-140727.3,181599.9,110645.1,-13462.6,3178.58,44088.24,11386.14,538.86,
23/01/2019,0.36,7.30,3.03,-2.23,-0.24,40.6679970172856,30.0058948303534,60.2895938441047,69.2938332986589,17.8633700076584,-2669091.6,-183924,178136.6,110272.9,-14292.4,3146.59,43469.41,11634.84,540.61,
24/01/2019,3.95,7.69,5.08,1.92,3.94,41.1112312316964,38.582483751674,72.4008392174676,83.3919196947441,46.8498644495606,-2673574.6,-219853.9,172334.2,106918.2,-16274.1,3126.35,47528.32,11954.47,503.21,
25/01/2019,5.71,6.23,7.09,4.37,5.04,51.9189360666507,40.8025123734936,61.543388876197,81.6559451985547,46.7263269676355,-2682217,-255974.4,165309.2,103279.7,-17077.2,3150.33,49576.84,12547.56,490.42,
26/01/2019,6.55,6.34,7.31,4.32,5.74,39.5059674966418,41.8035091658723,63.1580356485062,88.2613897989668,37.802459705239,-2709644.1,-487037.2,150671.2,92081.4,-23460,3197.2,50250.59,12665.66,490.76,
27/01/2019,6.46,8.22,8.53,4.62,6.64,24.5088393299849,14.8639538008019,74.6480120282107,87.7406545155276,32.2808107078793,-2716525,-635709,140591.2,79483.4,-26132.5,3113.08,43118.46,12447.55,493.96,
28/01/2019,8.56,8.34,8.52,4.95,6.64,29.8369765752126,37.5659274368899,32.7139235364873,76.3329843399867,16.7453732949321,-2689979.3,-339163.5,151877.9,99074,-17553.4,3093.3,43752.23,12661.49,559.61,
29/01/2019,4.67,5.79,6.51,4.78,4.30,36.156692848886,34.9188410396116,46.3375903242145,38.4870707804348,52.7895556150342,-2687222.5,-285986.9,151943,101300.5,-16678.1,3096.85,48704.9,12596.2,564.77,
30/01/2019,3.23,3.42,4.40,2.76,2.61,52.9202308899805,51.236581978923,58.7836090691095,48.2685117982872,60.405018562928,-2686276.1,-256924.5,153279.7,103490.2,-16152.3,3108.55,50106.16,11895.87,559.55,
31/01/2019,1.09,2.86,1.37,0.29,-0.67,50.3390987207292,45.323518866842,90.0391648294181,69.7425317242705,74.4457353503181,-2683883.8,-233995.4,156874.8,105688.3,-15377.8,3141.66,52238.93,11681.29,565.4,
01/02/2019,1.32,3.87,1.40,-1.66,-0.98,39.2332183463929,29.993188036841,47.1293861518437,67.7531237710233,46.2259901881029,-2684660.9,-239150,160144.5,106591.1,-15408.1,3110.37,48326.33,11000.69,585.87,
